symbol,sector,LTP,fut_net(w1),call_net(wtd),put_net(wtd),NEW_NET,NEW_NET_prev,DIFF,fut_d,callW_d,putW_d,pos_col15,reconcile(NEW-col15),net_side,ban,fut_eligible,opt_veto,opt_reducing,in_book,book_lots,fut_score,opt_score,conviction,h0,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18
INDIGO,Logistics,4988.0,22.0,1.62,6.77,30.39,29.02,1.37,0.0,2.17,-0.81,32.0,-1.61,LONG,,,Y,,,,0.2308,-0.423,0.0769,29.02,,,,,,,,,,,,,,,,,,
INDUSINDBK,Pvt Bank,1017.8,24.0,-2.31,-3.53,18.16,19.36,-1.2,0.0,-0.85,-0.35,15.0,3.16,LONG,,Y,,,Y,45,-0.6939,0.799,0.4975,19.36,,,,,,,,,,,,,,,,,,
INDUSTOWER,Telecom,381.75,23.0,6.99,5.13,35.12,36.96,-1.84,-1.0,-0.67,-0.17,36.0,-0.88,LONG,,,Y,,,,0.2857,-0.92,0.0952,36.96,,,,,,,,,,,,,,,,,,
INFY,IT,1101.0,94.0,-0.38,20.45,114.07,127.31,-13.24,-2.0,-4.22,-7.01,109.0,5.07,LONG,,,Y,,,,0.1474,-0.945,0.0491,127.31,,,,,,,,,,,,,,,,,,
INOXWIND,Power,75.28,41.0,7.57,-0.4,48.18,46.19,1.99,1.0,0.98,0.0,53.0,-4.82,LONG,,Y,Y,,,,-0.369,-0.84,0.123,46.19,,,,,,,,,,,,,,,,,,
IOC,Oil&Gas,136.38,21.0,0.45,7.6,29.05,31.59,-2.54,-1.0,-0.54,-1.0,27.0,2.05,LONG,,Y,Y,,,,-0.3721,-0.478,0.124,31.59,,,,,,,,,,,,,,,,,,
IREDA,PSU,108.47,66.0,2.01,14.5,82.51,82.47,0.04,0.0,0.03,0.01,92.0,-9.49,LONG,,,Y,,,,0.0698,-0.949,0.0233,82.47,,,,,,,,,,,,,,,,,,
IRFC,PSU,83.32,52.0,0.19,3.78,55.97,56.52,-0.55,0.0,-0.54,0.0,54.0,1.97,LONG,,,Y,,,,-0.0357,-0.867,0.0119,56.52,,,,,,,,,,,,,,,,,,
ITC,CD/FMCG,264.7,103.0,44.31,15.93,163.23,162.58,0.65,0.0,-0.4,1.07,176.0,-12.77,LONG,,Y,Y,,,,-0.1814,-0.983,0.0605,162.58,,,,,,,,,,,,,,,,,,
JINDALSTEL,Metals,1147.0,14.0,0.31,2.79,17.1,17.05,0.05,0.0,0.0,0.05,17.0,0.1,LONG,,,,,,,-0.3929,-0.748,0.131,17.05,,,,,,,,,,,,,,,,,,
JIOFIN,Financials,237.12,157.0,26.48,42.59,226.07,224.64,1.43,3.0,-0.78,-0.8,236.0,-9.93,LONG,,,Y,,,,-0.0367,-0.986,0.0122,224.64,,,,,,,,,,,,,,,,,,
JSWENERGY,Power,542.05,21.0,0.74,0.13,21.87,21.62,0.25,0.0,0.2,0.06,23.0,-1.13,LONG,,Y,,,,,-0.3429,-0.279,0.1143,21.62,,,,,,,,,,,,,,,,,,
JSWSTEEL,Metals,1320.0,9.0,-7.91,2.45,3.55,5.63,-2.08,1.0,-2.37,-0.73,4.0,-0.45,LONG,,,,,,,1.0,0.603,0.5342,5.63,,,,,,,,,,,,,,,,,,
JUBLFOOD,CD/FMCG,479.95,20.0,-6.35,8.0,21.65,21.66,-0.01,0.0,-0.01,0.0,18.0,3.65,LONG,,,,,,,2.8,0.74,0.5799,21.66,,,,,,,,,,,,,,,,,,
KALYANKJIL,CD/FMCG,597.0,12.0,1.06,-10.56,2.5,4.28,-1.78,0.0,-1.83,0.05,3.0,-0.5,LONG,,,,,,,1.1429,0.662,0.5541,4.28,,,,,,,,,,,,,,,,,,
KAYNES,Electronics,3480.0,14.0,3.54,25.17,42.71,42.48,0.23,0.0,0.27,-0.04,48.0,-5.29,LONG,,,Y,,,,2.0,-0.892,0.3333,42.48,,,,,,,,,,,,,,,,,,
KEI,Electronics,4735.0,10.0,8.98,2.33,21.31,19.45,1.86,0.0,2.08,-0.23,31.0,-9.69,LONG,,,Y,,,,4.1667,-0.888,0.3333,19.45,,,,,,,,,,,,,,,,,,
KFINTECH,Financials,929.0,14.0,2.73,0.11,16.84,16.17,0.67,0.0,0.68,-0.01,20.0,-3.16,LONG,,,,,,,0.8182,-0.479,0.2727,16.17,,,,,,,,,,,,,,,,,,
KOTAKBANK,Pvt Bank,424.7,13.0,-8.8,0.7,4.9,6.05,-1.15,0.0,-1.15,0.0,6.0,-1.1,LONG,,Y,,,Y,10,-0.7931,0.74,0.5111,6.05,,,,,,,,,,,,,,,,,,
